Country,Foreign investment in Australia,Australian investment abroad,Type,Amount,Year,International investment position
Japan,226689,125309,Foreign investment in Australia,3358.2,2017,988.7
China ,64156,77452,Australian investment abord,2369.4,2017,988.7
South Korea ,26976,19977,Australian investment abord,2369.4,2017,988.7
Singapore,87444,60021,Australian investment abord,2369.4,2017,988.7
United States of America,957196,730164,Foreign investment in Australia,3577.8,2018,"1,027.1"
United Kingdom,583843,406599,Foreign investment in Australia,3577.8,2018,"1,027.1"
Japan,234438,113351,Foreign investment in Australia,3577.8,2018,"1,027.1"
China ,68515,79221,Australian investment abord,2550.7,2018,"1,027.1"
South Korea ,30734,21333,Australian investment abord,2550.7,2018,"1,027.1"
Singapore,90202,73539,Australian investment abord,2550.7,2018,"1,027.1"
United States of America,1013510,836840,Foreign investment in Australia,3893.8,2019,934.4
United Kingdom,687291,510324,Foreign investment in Australia,3893.8,2019,934.4
Japan,243891,139461,Foreign investment in Australia,3893.8,2019,934.4
China ,79333,85327,Australian investment abord,2959.4,2019,934.4
South Korea ,31676,22182,Australian investment abord,2959.4,2019,934.4
Singapore,100118,83702,Australian investment abord,2959.4,2019,934.4
United States of America,929402,863645,Foreign investment in Australia,3990.9,2020,947.2
United Kingdom,737646,615167,Foreign investment in Australia,3990.9,2020,947.2
Japan,264525,112381,Foreign investment in Australia,3990.9,2020,947.2
China ,79175,64029,Australian investment abord,3043.7,2020,947.2
South Korea ,32684,24908,Australian investment abord,3043.7,2020,947.2
Singapore,116509,63193,Australian investment abord,3043.7,2020,947.2
